Project,Group,File (.java),Method/Field,Line,Warning,Source,Reason
guava,Baseline,MoreObjects,isEmpty,368,False positive,IDE,Nullable variable checked to be non-null
guava,Baseline,Optional,fromJavaUtil,132,False positive,IDE,Optional compared with null
guava,Baseline,Optional,fromJavaUtil,132,False positive,IDE,Null return from unannotated method
guava,Baseline,Optional,toJavaUtil,154,False positive,IDE,Optional compared with null
guava,Baseline,Optional,toJavaUtil,154,False positive,IDE,Null return from unannotated method
guava,Baseline,Platform,emptyToNull,79,False positive,IDE,Null return from unannotated method
guava,Baseline,Predicates,toString,763,False positive,IDE,Unannotated override of Java API
guava,Baseline,Splitter,iterator,373,False positive,IDE,Unannotated override of Java API
guava,Experimental,Converter,unsafeDoForward,244,False positive,IDE,Non-null function annotated nullable
guava,Experimental,Converter,unsafeDoForward,245,True positive,IDE,Passing nullable to non-null
guava,Experimental,Converter,unsafeDoBackward,248,False positive,IDE,Non-null function annotated nullable
guava,Experimental,Converter,unsafeDoBackward,249,True positive,IDE,Passing nullable to non-null
guava,Experimental,Converter,next,283,False positive,Both,Unannotated override of Java API
guava,Experimental,Converter,apply,469,False positive,Both,Unannotated override of Java API
guava,Experimental,NullnessCasts,uncheckedCastNullableTToT,56,True positive,NA,Null return from null-marked method
guava,Experimental,Optional,fromJavaUtil,132,False positive,IDE,Optional compared with null
guava,Experimental,Optional,fromJavaUtil,132,False positive,IDE,Optional returned as null
guava,Experimental,Optional,toJavaUtil,154,False positive,IDE,Optional compared with null
guava,Experimental,Optional,toJavaUtil,154,False positive,IDE,Optional returned as null
guava,Experimental,Throwables,getRootCause,261,False positive,NA,Nullable variable checked to be non-null
guava,Experimental,Throwables,getCausalChain,303,False positive,NA,Nullable variable checked to be non-null
guava,Experimental,Throwables,getCauseAs,324,False positive,IDE,Non-null function annotated nullable
guava,Experimental,Throwables,invokeAccessibleNonThrowingMethod,441,Uncertain,NA,Passing nullable to non-null
jsoup,Baseline,CharacterReader,close,71,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,CharacterReader,close,74,Uncertain,IDE,Unsafe null assignment
jsoup,Baseline,CharacterReader,close,76,Uncertain,IDE,Unsafe null assignment
jsoup,Baseline,CharacterReader,doBufferUp,122,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,CharacterReader,trackNewLines,173,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,initialiseParser,98,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,initialiseParser,100,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,initialiseParser,101,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,initialiseParser,102,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,getFromStack,490,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,onStackPrunedForDepth,508,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,popStackToClose,528,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,popStackToCloseAnyNamespace,540,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,aboveOnStack,585,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,aboveOnStack,592,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,resetInsertionMode,640,Uncertain,IDE,Unsafe dereference with internal code
jsoup,Baseline,HtmlTreeBuilder,lastFormattingElement,885,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,removeLastFormattingElement,901,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,firstElementChild,1020,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,popTemplateMode,1062,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,HtmlTreeBuilder,currentTemplateMode,1071,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,StreamParser,resetInsertionMode,316,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,StreamParser,next,338,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,StreamParser,maybeFindNext,364,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Tag,textState,327,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,TagSet,copyCustomizers,68,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,TagSet,get,129,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Token,resetInsertionMode,66,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Token,reset,124,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Token,reset,126,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Token,newAttribute,160,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,Token,reset,309,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,TokenData,flipToBuilder,59,False positive,IDE,Null assignment to unannotated variable
jsoup,Baseline,TokenData,reset,69,False positive,IDE,Null assignment to unannotated variable
